Antecedents,Consequents,Support,Confidence,Lift,Clinical Pattern Observation
"Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Change_Yes, Stay_Long (>=7 days)",0.0565,0.2539,2.2275,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, Stay_Long (>=7 days)' (Lift: 2.23x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, High_Lab_Procedures (>=50)","Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days)",0.0565,0.2539,2.2275,"Encounters with 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 2.23x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, A1C_High (>7/8), Med_Insulin_Prescribed","DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.02,0.6667,2.2259,"Encounters with 'Admission_Emergency, Med_Change_Yes, A1C_High (>7/8), Med_Insulin_Prescribed' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.23x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Readmitted_30d",High_Prior_Utilization,0.0255,0.2833,2.2222,"Encounters with 'Med_Insulin_Prescribed, Readmitted_30d' frequently exhibit 'High_Prior_Utilization' (Lift: 2.22x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, Readmitted_30d",High_Prior_Utilization,0.0255,0.2833,2.2222,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, Readmitted_30d' frequently exhibit 'High_Prior_Utilization' (Lift: 2.22x baseline). Note: Association does not imply causation."
"Admission_Emergency, DiabetesMed_Yes, Stay_Long (>=7 days)","Diag1_Circulatory, High_Lab_Procedures (>=50)",0.021,0.24,2.2222,"Encounters with 'Admission_Emergency, DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, High_Lab_Procedures (>=50)' (Lift: 2.22x baseline). Note: Association does not imply causation."
High_Prior_Utilization,"Med_Insulin_Prescribed, Readmitted_30d",0.0255,0.2,2.2222,"Encounters with 'High_Prior_Utilization' frequently exhibit 'Med_Insulin_Prescribed, Readmitted_30d' (Lift: 2.22x baseline). Note: Association does not imply causation."
High_Prior_Utilization,"Med_Insulin_Prescribed, DiabetesMed_Yes, Readmitted_30d",0.0255,0.2,2.2222,"Encounters with 'High_Prior_Utilization' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes, Readmitted_30d' (Lift: 2.22x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, High_Lab_Procedures (>=50)","Admission_Emergency, DiabetesMed_Yes, Stay_Long (>=7 days)",0.021,0.1944,2.2222,"Encounters with 'Diag1_Circulatory, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 2.22x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, Stay_Long (>=7 days)",0.021,0.2471,2.2158,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, Stay_Long (>=7 days)' (Lift: 2.22x baseline). Note: Association does not imply causation."
"Admission_Emergency, Stay_Long (>=7 days)","Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.021,0.1883,2.2158,"Encounters with 'Admission_Emergency, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.22x baseline). Note: Association does not imply causation."
"Diag1_Diabetes, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, Med_Insulin_Prescribed",0.022,0.6197,2.2093,"Encounters with 'Diag1_Diabetes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, Med_Insulin_Prescribed' (Lift: 2.21x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, Stay_Long (>=7 days)",0.031,0.278,2.1978,"Encounters with 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, Stay_Long (>=7 days)",0.031,0.278,2.1978,"Encounters with 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)",0.031,0.278,2.1978,"Encounters with 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Stay_Long (>=7 days)","Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)",0.031,0.2451,2.1978,"Encounters with 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' frequently exhibit 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)","Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)",0.031,0.2451,2.1978,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Stay_Long (>=7 days)","Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.031,0.2451,2.1978,"Encounters with 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' frequently exhibit 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Med_Change_Yes, A1C_High (>7/8), Med_Insulin_Prescribed","DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0375,0.6579,2.1966,"Encounters with 'Med_Change_Yes, A1C_High (>7/8), Med_Insulin_Prescribed' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Change_Yes, A1C_High (>7/8), Med_Insulin_Prescribed",0.0375,0.1252,2.1966,"Encounters with 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, A1C_High (>7/8), Med_Insulin_Prescribed' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, Stay_Long (>=7 days)",0.03,0.2778,2.1959,"Encounters with 'Diag1_Circulatory, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)",0.03,0.2778,2.1959,"Encounters with 'Diag1_Circulatory, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Stay_Long (>=7 days)","Diag1_Circulatory, High_Lab_Procedures (>=50)",0.03,0.2372,2.1959,"Encounters with 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, High_Lab_Procedures (>=50)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)","Diag1_Circulatory, High_Lab_Procedures (>=50)",0.03,0.2372,2.1959,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, High_Lab_Procedures (>=50)' (Lift: 2.20x baseline). Note: Association does not imply causation."
"Med_Change_Yes, A1C_High (>7/8)","DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.047,0.6573,2.1948,"Encounters with 'Med_Change_Yes, A1C_High (>7/8)' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.19x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Change_Yes, A1C_High (>7/8)",0.047,0.1569,2.1948,"Encounters with 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, A1C_High (>7/8)' (Lift: 2.19x baseline). Note: Association does not imply causation."
"A1C_High (>7/8), DiabetesMed_Yes","Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)",0.026,0.2441,2.1895,"Encounters with 'A1C_High (>7/8), DiabetesMed_Yes' frequently exhibit 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.19x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)","A1C_High (>7/8), DiabetesMed_Yes",0.026,0.2332,2.1895,"Encounters with 'Admission_Emergency, Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'A1C_High (>7/8), DiabetesMed_Yes' (Lift: 2.19x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, A1C_High (>7/8), DiabetesMed_Yes",0.026,0.1379,2.1894,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, A1C_High (>7/8), DiabetesMed_Yes' (Lift: 2.19x baseline). Note: Association does not imply causation."
"Admission_Emergency, A1C_High (>7/8), DiabetesMed_Yes","Med_Change_Yes, High_Lab_Procedures (>=50)",0.026,0.4127,2.1894,"Encounters with 'Admission_Emergency, A1C_High (>7/8), DiabetesMed_Yes' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.19x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Stay_Long (>=7 days)","Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.022,0.3359,2.181,"Encounters with 'Diag1_Circulatory, Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 2.18x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Stay_Long (>=7 days)","Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed",0.022,0.3359,2.181,"Encounters with 'Diag1_Circulatory, Stay_Long (>=7 days)' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' (Lift: 2.18x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","Diag1_Circulatory, Stay_Long (>=7 days)",0.022,0.1429,2.181,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, Stay_Long (>=7 days)' (Lift: 2.18x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed","Diag1_Circulatory, Stay_Long (>=7 days)",0.022,0.1429,2.181,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Med_Insulin_Prescribed' frequently exhibit 'Diag1_Circulatory, Stay_Long (>=7 days)' (Lift: 2.18x baseline). Note: Association does not imply causation."
Readmitted_30d,"DiabetesMed_Yes, High_Prior_Utilization",0.0345,0.206,2.1796,"Encounters with 'Readmitted_30d' frequently exhibit 'DiabetesMed_Yes, High_Prior_Utilization' (Lift: 2.18x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Prior_Utilization",Readmitted_30d,0.0345,0.3651,2.1796,"Encounters with 'DiabetesMed_Yes, High_Prior_Utilization' frequently exhibit 'Readmitted_30d' (Lift: 2.18x baseline). Note: Association does not imply causation."
"A1C_High (>7/8), DiabetesMed_Yes","Med_Insulin_Prescribed, High_Lab_Procedures (>=50)",0.0515,0.4836,2.1733,"Encounters with 'A1C_High (>7/8), DiabetesMed_Yes' frequently exhibit 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, High_Lab_Procedures (>=50)","A1C_High (>7/8), DiabetesMed_Yes",0.0515,0.2315,2.1733,"Encounters with 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' frequently exhibit 'A1C_High (>7/8), DiabetesMed_Yes' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Metformin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.0395,0.4093,2.1715,"Encounters with 'Admission_Emergency, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Admission_Emergency, DiabetesMed_Yes, Med_Metformin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.0395,0.4093,2.1715,"Encounters with 'Admission_Emergency, DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Metformin_Prescribed","Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0395,0.4093,2.1715,"Encounters with 'Admission_Emergency, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, Med_Metformin_Prescribed",0.0395,0.2095,2.1715,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, Med_Metformin_Prescribed' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, Med_Metformin_Prescribed",0.0395,0.2095,2.1715,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, Med_Metformin_Prescribed' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, DiabetesMed_Yes, Med_Metformin_Prescribed",0.0395,0.2095,2.1715,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Glyburide_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.0225,0.4091,2.1702,"Encounters with 'Admission_Emergency, Med_Glyburide_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Admission_Emergency, DiabetesMed_Yes, Med_Glyburide_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50)",0.0225,0.4091,2.1702,"Encounters with 'Admission_Emergency, DiabetesMed_Yes, Med_Glyburide_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Glyburide_Prescribed","Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0225,0.4091,2.1702,"Encounters with 'Admission_Emergency, Med_Glyburide_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, Med_Glyburide_Prescribed",0.0225,0.1194,2.1702,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, Med_Glyburide_Prescribed' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, Med_Glyburide_Prescribed",0.0225,0.1194,2.1702,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, Med_Glyburide_Prescribed' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, DiabetesMed_Yes, Med_Glyburide_Prescribed",0.0225,0.1194,2.1702,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, DiabetesMed_Yes, Med_Glyburide_Prescribed' (Lift: 2.17x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, A1C_High (>7/8)","DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0515,0.6478,2.1629,"Encounters with 'Med_Insulin_Prescribed, A1C_High (>7/8)' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.16x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, A1C_High (>7/8)",0.0515,0.172,2.1629,"Encounters with 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, A1C_High (>7/8)' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Med_Metformin_Prescribed","Med_Change_Yes, Admission_Emergency",0.0455,0.4892,2.16,"Encounters with 'Med_Insulin_Prescribed, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, Admission_Emergency' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, Med_Metformin_Prescribed","Admission_Emergency, Med_Change_Yes",0.0455,0.4892,2.16,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency, Med_Change_Yes' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Med_Metformin_Prescribed","Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes",0.0455,0.4892,2.16,"Encounters with 'Med_Insulin_Prescribed, Med_Metformin_Prescribed' frequently exhibit 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Admission_Emergency","Med_Insulin_Prescribed, Med_Metformin_Prescribed",0.0455,0.2009,2.16,"Encounters with 'Med_Change_Yes, Admission_Emergency' frequently exhibit 'Med_Insulin_Prescribed, Med_Metformin_Prescribed' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes","Med_Insulin_Prescribed, Med_Metformin_Prescribed",0.0455,0.2009,2.16,"Encounters with 'Admission_Emergency, Med_Change_Yes, DiabetesMed_Yes' frequently exhibit 'Med_Insulin_Prescribed, Med_Metformin_Prescribed' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Change_Yes","Med_Insulin_Prescribed, DiabetesMed_Yes, Med_Metformin_Prescribed",0.0455,0.2009,2.16,"Encounters with 'Admission_Emergency, Med_Change_Yes' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes, Med_Metformin_Prescribed' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Diabetes","Med_Insulin_Prescribed, High_Lab_Procedures (>=50)",0.024,0.48,2.1573,"Encounters with 'Med_Change_Yes, Diag1_Diabetes' frequently exhibit 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Diabetes, DiabetesMed_Yes","Med_Insulin_Prescribed, High_Lab_Procedures (>=50)",0.024,0.48,2.1573,"Encounters with 'Med_Change_Yes, Diag1_Diabetes, DiabetesMed_Yes' frequently exhibit 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Diag1_Diabetes","Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.024,0.48,2.1573,"Encounters with 'Med_Change_Yes, Diag1_Diabetes' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, High_Lab_Procedures (>=50)","Med_Change_Yes, Diag1_Diabetes",0.024,0.1079,2.1573,"Encounters with 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, Diag1_Diabetes' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Change_Yes, Diag1_Diabetes",0.024,0.1079,2.1573,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, Diag1_Diabetes' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, High_Lab_Procedures (>=50)","Med_Change_Yes, Diag1_Diabetes, DiabetesMed_Yes",0.024,0.1079,2.1573,"Encounters with 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Change_Yes, Diag1_Diabetes, DiabetesMed_Yes' (Lift: 2.16x baseline). Note: Association does not imply causation."
"Admission_Emergency, A1C_High (>7/8), Med_Insulin_Prescribed","DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.03,0.6452,2.1541,"Encounters with 'Admission_Emergency, A1C_High (>7/8), Med_Insulin_Prescribed' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.15x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Lab_Procedures (>=50)","Admission_Emergency, A1C_High (>7/8), Med_Insulin_Prescribed",0.03,0.1002,2.1541,"Encounters with 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, A1C_High (>7/8), Med_Insulin_Prescribed' (Lift: 2.15x baseline). Note: Association does not imply causation."
"Admission_Emergency, A1C_High (>7/8), DiabetesMed_Yes","Med_Insulin_Prescribed, High_Lab_Procedures (>=50)",0.03,0.4762,2.1402,"Encounters with 'Admission_Emergency, A1C_High (>7/8), DiabetesMed_Yes' frequently exhibit 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' (Lift: 2.14x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, High_Lab_Procedures (>=50)","Admission_Emergency, A1C_High (>7/8), DiabetesMed_Yes",0.03,0.1348,2.1402,"Encounters with 'Med_Insulin_Prescribed, High_Lab_Procedures (>=50)' frequently exhibit 'Admission_Emergency, A1C_High (>7/8), DiabetesMed_Yes' (Lift: 2.14x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)","Diag1_Circulatory, Med_Insulin_Prescribed",0.022,0.3188,2.1399,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, Med_Insulin_Prescribed' (Lift: 2.14x baseline). Note: Association does not imply causation."
"Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)","Diag1_Circulatory, Med_Insulin_Prescribed",0.022,0.3188,2.1399,"Encounters with 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, Med_Insulin_Prescribed' (Lift: 2.14x baseline). Note: Association does not imply causation."
"Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)","Diag1_Circulatory, DiabetesMed_Yes, Med_Insulin_Prescribed",0.022,0.3188,2.1399,"Encounters with 'Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, DiabetesMed_Yes, Med_Insulin_Prescribed' (Lift: 2.14x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Insulin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)",0.022,0.1477,2.1399,"Encounters with 'Diag1_Circulatory, Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' (Lift: 2.14x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, DiabetesMed_Yes, Med_Insulin_Prescribed","Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)",0.022,0.1477,2.1399,"Encounters with 'Diag1_Circulatory, DiabetesMed_Yes, Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' (Lift: 2.14x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Insulin_Prescribed","Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)",0.022,0.1477,2.1399,"Encounters with 'Diag1_Circulatory, Med_Insulin_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50), Stay_Long (>=7 days)' (Lift: 2.14x baseline). Note: Association does not imply causation."
"A1C_High (>7/8), Med_Metformin_Prescribed","DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.0205,0.6406,2.139,"Encounters with 'A1C_High (>7/8), Med_Metformin_Prescribed' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.14x baseline). Note: Association does not imply causation."
"DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, Stay_Long (>=7 days)",0.081,0.2705,2.138,"Encounters with 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' (Lift: 2.14x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Stay_Long (>=7 days)","DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.081,0.6403,2.138,"Encounters with 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' frequently exhibit 'DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 2.14x baseline). Note: Association does not imply causation."
High_Prior_Utilization,Readmitted_30d,0.0455,0.3569,2.1305,Encounters with 'High_Prior_Utilization' frequently exhibit 'Readmitted_30d' (Lift: 2.13x baseline). Note: Association does not imply causation.
Readmitted_30d,High_Prior_Utilization,0.0455,0.2716,2.1305,Encounters with 'Readmitted_30d' frequently exhibit 'High_Prior_Utilization' (Lift: 2.13x baseline). Note: Association does not imply causation.
